condition	dummy_condition	subject	session	category	word	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
sham	1.0	001	1	Ader	Vene	1796.5974062813	7.494206277991407	0.3226347714662552	0.20626918926046345
pIFG	1.5	002	3	Ader	Körper	1697.41558890533	7.437451088929901	0.2189104352146387	0.202287980919154
aIFG	0.5	004	3	Ader	Vene	1549.99999999999	7.346655163176532	0.3226347714662552	0.20626918926046345
sham	1.0	005	2	Ader	Gefaess	3189.86579322938	8.068047567490112	0.21312689827755094	0.17382150613516778
sham	1.0	006	1	Ader	Vene	1839.10389944243	7.5175773160971024	0.3226347714662552	0.20626918926046345
aIFG	0.5	007	2	Ader	Vene	1305.41126308604	7.175039163087278	0.3226347714662552	0.20626918926046345
pIFG	1.5	008	3	Ader	Vene	2127.20346420118	7.663033458767409	0.3226347714662552	0.20626918926046345
pIFG	1.5	009	1	Ader	Muskel	1923.33333333333	7.562334866392822	0.271605271846056	0.2262039743862061
sham	1.0	010	2	Ader	Vene	1994.96104103323	7.5988809381604945	0.3226347714662552	0.20626918926046345
aIFG	0.5	011	3	Ader	Arterie	3710.0	8.219056661060597	0.339893601834774	0.2175810727333416
pIFG	1.5	012	1	Ader	Vene	1409.31602414658	7.251569088859115	0.3226347714662552	0.20626918926046345
aIFG	0.5	013	2	Ader	Blut	1692.69264522076	7.434666421454371	0.25255482643842697	0.21970093374926603
pIFG	1.5	014	3	Ader	Vene	1612.40260258308	7.386100645606246	0.3226347714662552	0.20626918926046345
pIFG	1.5	015	1	Ader	Vene	1957.17749155667	7.579769468398118	0.3226347714662552	0.20626918926046345
sham	1.0	016	1	Ader	Vene	1725.75325101275	7.453998190702361	0.3226347714662552	0.20626918926046345
aIFG	0.5	017	3	Ader	Arterie	2320.84415526854	7.7501170434113344	0.339893601834774	0.2175810727333416
sham	1.0	018	2	Ader	Vene	1102.32468464954	7.006083340986058	0.3226347714662552	0.20626918926046345
pIFG	1.5	020	3	Ader	Vene	2632.55843845015	7.876091229089297	0.3226347714662552	0.20626918926046345
sham	1.0	021	1	Ader	Vene	2311.3982678994	7.746040476159173	0.3226347714662552	0.20626918926046345
pIFG	1.5	022	1	Ader	Vene	1640.7402646905	7.40351209521674	0.3226347714662552	0.20626918926046345
sham	1.0	023	2	Ader	Vene	2816.75324214837	7.943695123737574	0.3226347714662552	0.20626918926046345
aIFG	0.5	024	3	Ader	Vene	1664.35498311334	7.417793582761075	0.3226347714662552	0.20626918926046345
aIFG	0.5	103	2	Ader	Arterie	2363.35064842967	7.76825869596536	0.339893601834774	0.2175810727333416
aIFG	0.5	001	3	Adler	Geier	3369.33765324303	8.122768212168001	0.3746662959456444	0.32429625814080576
sham	1.0	002	2	Adler	Vogel	1428.20779888486	7.264875582952768	0.45889561623334885	0.37994388311291716
pIFG	1.5	003	1	Adler	Vogel	1848.54978681157	7.522697529975658	0.45889561623334885	0.37994388311291716
pIFG	1.5	004	2	Adler	Vogel	1244.01299518664	7.126901246745249	0.45889561623334885	0.37994388311291716
aIFG	0.5	005	1	Adler	Bussard	1867.44156154984	7.5328599728409635	0.22653526533395052	0.18394397873282964
aIFG	0.5	006	3	Adler	Vogel	1711.58441995904	7.445758865247803	0.45889561623334885	0.37994388311291716
pIFG	1.5	007	1	Adler	Geier	1248.7359388712	7.130687559077114	0.3746662959456444	0.32429625814080576
sham	1.0	009	3	Adler	Taube	2623.11255108101	7.872498042086562	0.2687319163233042	0.2808179629965244
aIFG	0.5	010	1	Adler	Taube	2108.3116894629	7.654116959726214	0.2687319163233042	0.2808179629965244
pIFG	1.5	011	2	Adler	Geier	2301.95238053026	7.741947222459824	0.3746662959456444	0.32429625814080576
sham	1.0	012	3	Adler	Sperber	1399.87013677744	7.244848848805491	0.3817492574453354	0.27377117428839637
pIFG	1.5	013	1	Adler	Spatz	1867.44156154984	7.5328599728409635	0.35685549303889275	0.2624356337608509
sham	1.0	014	2	Adler	Falke	1532.11255994539	7.3350553007982695	0.4834941327571869	0.4010619729123448
sham	1.0	015	3	Adler	Falke	2270.0	7.7279755421055585	0.4834941327571869	0.4010619729123448
aIFG	0.5	016	3	Adler	Vogel	1806.04329365044	7.499447249159918	0.45889561623334885	0.37994388311291716
pIFG	1.5	017	2	Adler	Falke	1961.90043524124	7.58217847227756	0.4834941327571869	0.4010619729123448
aIFG	0.5	018	1	Adler	Bussard	1430.0	7.266128779556451	0.22653526533395052	0.18394397873282964
pIFG	1.5	019	1	Adler	Taube	2793.13852372552	7.935279117587737	0.2687319163233042	0.2808179629965244
sham	1.0	020	2	Adler	Moewe	3070.0	8.029758520440822	0.2703242599964142	0.2377704564572488
aIFG	0.5	021	3	Adler	Habicht	2339.73593000682	7.758220658909902	0.40398093312978745	0.25006812662377675
sham	1.0	022	3	Adler	Spatz	1409.31602414658	7.251569088859115	0.35685549303889275	0.2624356337608509
